metric,calculated,manuscript_rounded,difference,unit
Phase 0,28.95595,29.0,-0.04404999999999859,%
Phase 1,53.508100000000006,53.5,0.008100000000005991,%
Phase 2,17.53595,17.5,0.035949999999999704,%
Boundary accessible pores,98.28758920959515,98.3,-0.012410790404842942,% of pores
Isolated pores,1.712410790404854,1.7,0.012410790404854044,% of pores
X connectivity,95.50730071652805,95.5,0.0073007165280500885,% of pores
Y connectivity,95.50730071652805,95.5,0.0073007165280500885,% of pores
Z connectivity,95.50730071652805,95.5,0.0073007165280500885,% of pores
minimum_local_diameter_um,1.399999976158142,1.4,-2.3841857821338408e-08,um
median_local_diameter_um,3.383373737335205,3.4,-0.016626262664794833,um
maximum_local_diameter_um,7.138627052307129,7.1,0.03862705230712926,um
X formation factor,62.0065360608637,62.0,0.0065360608637021755,dimensionless
X relative diffusivity,0.016127332109286525,0.016,0.0001273321092865251,dimensionless
X diffusion tortuosity,10.384924416826522,10.4,-0.01507558317347879,dimensionless
X random-walk tortuosity,4.95614043805674,5.0,-0.04385956194326024,dimensionless
X permeability,5.127771085922201e-15,5.1e-15,2.7771085922201135e-17,m^2
Y formation factor,69.94435832644263,69.9,0.0443583264426195,dimensionless
Y relative diffusivity,0.014297078762704836,0.014,0.000297078762704836,dimensionless
Y diffusion tortuosity,11.71435981991573,11.7,0.014359819915730654,dimensionless
Y random-walk tortuosity,5.698248801540912,5.7,-0.0017511984590878882,dimensionless
Y permeability,4.660529766867143e-15,4.7e-15,-3.9470233132856745e-17,m^2
Z formation factor,58.23662231911967,58.2,0.03662231911966529,dimensionless
Z relative diffusivity,0.017171325536709397,0.017,0.00017132553670939563,dimensionless
Z diffusion tortuosity,9.753535022206272,9.8,-0.046464977793728934,dimensionless
Z random-walk tortuosity,4.609668648180672,4.6,0.009668648180672257,dimensionless
Z permeability,5.0275481833745534e-15,5e-15,2.754818337455344e-17,m^2
